Variable Name,04/30/2024 Carson Overnight (sg194)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2024_04_Carson_Overnight
WMO (unique identifier assigned to a glider),sg194
Glider Name,Clementine
Glider Model,Seaglider
Glider Serial Number,194
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley"
Contact Roles (PI Mandatory),"Chief Scientist, Data Manager & Lead Pilot"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), Applied Physics Laboratory"
Agency roles,"Funding Agency, Operating Agency"
Start Date,2024-04-30T19:06:53.776999936
Deployment Latitude,47.73247°
Deployment Longitude,-122.4134°
Deployment Ship,Welander
End Date,2024-05-01T18:06:04.828999936
Oceangliders Site,"Puget Sound, WA, USA (not yet an offical Oceangliders Site)"
Network,Applied Physics Lab IOP Seaglider
Sensor Model,"CT Sail, Optode, Wetlabs"
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
Comments,
