Variable Name,05/31/2024 Colvos Triple (sg175)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2025_05_Colvos_Triple
WMO (unique identifier assigned to a glider),sg175
Glider Name,Chick-a-dee
Glider Model,Seaglider
Glider Serial Number,175
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley"
Contact Roles (PI Mandatory),"Chief Scientist, Data Manager & Lead Pilot"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF), Applied Physics Laboratory"
Agency roles,"Funding Agency, Operating Agency"
Start Date,2024-05-31T15:43:37.636000000
Deployment Latitude,47.484333°
Deployment Longitude,-122.498535°
Deployment Ship,Dadilest Catch
End Date,2024-05-31T23:03:45.360000000
Oceangliders Site,"Puget Sound, WA, USA "
Network,Applied Physics Lab IOP Seaglider
Sensor Model,CT Sail
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
Comments,
