dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
0,0.14016877,0.15637295,2004-10-15 15:30:01,2004-10-15 15:55:34,47.484512,47.487583,-122.49938,-122.4958
1,0.060379572,0.113782994,2004-10-15 16:15:00,2004-10-15 16:50:02,47.48834,47.493015,-122.495575,-122.494736
2,0.052979928,0.10951675,2004-10-15 17:03:44,2004-10-15 17:38:15,47.49262,47.49725,-122.4939,-122.49225
3,0.0035556555,0.10361905,2004-10-15 17:44:12,2004-10-15 18:14:18,47.497177,47.500668,-122.49199,-122.49268
4,0.06273052,0.16784555,2004-10-15 18:19:48,2004-10-15 18:59:20,47.500767,47.507233,-122.4925,-122.48901
5,0.04867753,0.23903003,2004-10-15 19:05:19,2004-10-15 19:43:38,47.507576,47.515083,-122.488945,-122.48582
6,0.042795092,0.19804461,2004-10-15 19:51:29,2004-10-15 20:20:31,47.51531,47.517967,-122.4862,-122.48247
7,-0.039668463,0.24154942,2004-10-15 20:25:59,2004-10-15 20:53:46,47.51826,47.521816,-122.48241,-122.48628
8,-0.1772849,0.19393219,2004-10-15 20:59:25,2004-10-15 21:31:01,47.522274,47.525684,-122.48659,-122.494415
9,-0.26908043,0.19636415,2004-10-15 21:37:06,2004-10-15 22:05:08,47.526146,47.53045,-122.495445,-122.503685
10,-0.16039048,0.19332498,2004-10-15 22:11:31,2004-10-15 22:44:41,47.530266,47.535683,-122.50448,-122.51006
11,-0.09682116,0.18372568,2004-10-15 22:50:07,2004-10-15 23:33:25,47.536068,47.543915,-122.51084,-122.5125
