Variable Name,09/19/2024 Time Series (sg195)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2024_11_Tropics_Mission
WMO (unique identifier assigned to a glider),sg195
Glider Name,Pigeon
Glider Model,Seaglider
Glider Serial Number,195
Contacts (PI Mandatory),"Katie Kohlman, Lydia Kelley"
Contact Roles (PI Mandatory),"Chief Scientist & Pilot,  Data Manager & Pilot"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF),  NSF, Applied Physics Laboratory, "
Agency roles,"Funding Agency, Funding Agency, Operating Agency, "
Start Date,2024-11-19T14:24:48
Deployment Latitude,0.7312°
Deployment Longitude,-139.1671°
Deployment Ship,R/V Sikuliaq
End Date,2025-06-05T0:00:00Z
Oceangliders Site,Tropical Pacific Ocean (not yet an offical Oceangliders Site)
Network,Applied Physics Lab IOP Seaglider
Sensor Model,"CT Sail, Optode, Wetlabs"
SensorSerialNumber,"serial # of sensors, can be multiple deparated by a comma"
Sensor Calibration Date,10/9/24
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,

Comments,
