Variable Name,05/22/2026 OTTERS (sg175)
Program,University of Washington Student Seaglider Center (UW SSC)
Internal Mission ID,2026_05_22_OTTERS
WMO (unique identifier assigned to a glider),sg175
Glider Name,Chick-a-dee
Glider Model,Seaglider
Glider Serial Number,175
Contacts (PI Mandatory),"William Menapace, Claire Syrett"
Contact Roles (PI Mandatory),"Mission PI,Mission PI"
Agencies (Operating Agency Mandatory),"University of Washington Student Technology Fee (STF),  NSF, Applied Physics Laboratory, "
Agency roles,"Funding Agency, Funding Agency, Operating Agency, "
Start Date,2026-05-22 T15:39:23
Deployment Latitude,47.8468°
Deployment Longitude, -122.3759°
Deployment Ship,R/V Dadilest Catch
End Date,2026-06-07T19:50:21
Oceangliders Site,Edmonds Puget Sound 
Network,Applied Physics Lab IOP Seaglider
Sensor Model,"CT Sail, Optode"
SensorSerialNumber,"0068, 205"
Sensor Calibration Date,"10/28/2025, 04/08/2019"
Telecom Type,Iridium
Tracking System,GPS
Data URL,https://github.com/UWOceanTech/Student-Seaglider-Center/tree/main
RTQC Method,
,
Comments,
